id_murid,nama,gaya_belajar,metode_belajar,preferensi_topik,available_start,available_end,is_flexible,whatsapp
M0001,Radit  Mulyani,Auditori,Offline,Fisika Dasar,2025-12-16 17:18,2025-12-16 19:18,False,0881620400
M0002,Estiawan  Puspita,Auditori,Online,Kimia Murni,2025-09-10 15:17,2025-09-10 16:17,False,(018) 216-9915
M0003,Ganep  Wahyudin,Visual,Offline,Dasar Pemrograman,2025-07-23 10:48,2025-07-23 12:48,False,0888080958
M0004,Irma  Prasetyo,Visual,Online,Analisis Numerik,2025-07-25 22:20,2025-07-26 00:20,True,+62-064-157-3402
M0005,Wardaya  Tamba,Kinestetik,Online,Fisika Dasar,2025-07-27 11:17,2025-07-27 14:17,False,+62-0483-291-8343
M0006,Harjaya  Hutasoit,Kinestetik,Offline,Struktur Data,2025-10-01 13:23,2025-10-01 15:23,True,+62 (013) 025 8041
M0007,Karma  Hakim,Visual,Online,Fisika Listrik,2025-07-03 09:10,2025-07-03 11:10,True,(0520) 205-0028
M0008,Daru  Haryanto,Auditori,Online,Analisis Numerik,2025-10-14 11:11,2025-10-14 12:11,False,+62 (096) 883 7736
M0009,Rahmi  Andriani,Kinestetik,Offline,Fisika Magnet,2025-08-20 09:25,2025-08-20 10:25,True,+62-013-880-0279
M0010,Makara  Prasetyo,Kinestetik,Online,Logika Matematika,2025-12-30 22:53,2025-12-31 00:53,True,+62-0865-791-0875
M0011,Cakrajiya  Situmorang,Visual,Offline,Struktur Data,2025-08-09 10:01,2025-08-09 11:01,True,+62 (102) 112 2450
M0012,Omar  Susanti,Visual,Online,Probabilitas & Statistika,2025-07-04 14:47,2025-07-04 17:47,False,(0950) 444-3899
M0013,Hartaka  Agustina,Auditori,Offline,Struktur Data,2025-08-08 15:51,2025-08-08 18:51,True,+62-030-376-1028
M0014,Estiono  Siregar,Auditori,Online,Analisis Numerik,2025-07-02 16:36,2025-07-02 19:36,False,+62 (0769) 042-4633
M0015,Lintang  Nuraini,Kinestetik,Online,Pengantar AI,2025-07-09 01:18,2025-07-09 02:18,False,+62 (94) 740-8188
M0016,Tiara  Hidayanto,Visual,Online,Matematika 2,2025-09-09 13:29,2025-09-09 15:29,False,+62 (221) 640-5042
M0017,Kani  Simanjuntak,Kinestetik,Online,Matematika 2,2025-08-04 07:47,2025-08-04 08:47,False,+62 (0720) 307-4871
M0018,Karma  Mandala,Auditori,Online,Matematika 2,2025-11-16 21:07,2025-11-17 00:07,False,+62-65-007-2392
M0019,Nadine  Pradana,Visual,Online,Struktur Data,2025-07-10 07:38,2025-07-10 10:38,True,+62-83-667-5355
M0020,Elon  Rajata,Visual,Online,Basis Data,2025-07-23 13:51,2025-07-23 15:51,False,+62 (092) 330-0446
M0021,Karna  Wibowo,Kinestetik,Offline,Pengantar AI,2025-11-06 08:38,2025-11-06 11:38,False,+62-0021-242-9635
M0022,Purwanto  Putra,Auditori,Online,Metode Statistik,2025-11-06 00:16,2025-11-06 03:16,False,(030) 322-8454
M0023,Wirda  Hastuti,Visual,Offline,Metode Statistik,2025-09-27 22:38,2025-09-28 01:38,True,+62 (049) 639-6673
M0024,Banawi  Marbun,Auditori,Online,Fisika Magnet,2025-11-19 01:23,2025-11-19 02:23,False,+62 (736) 200-7961
M0025,Eka  Januar,Kinestetik,Offline,Fisika Listrik,2025-12-22 19:49,2025-12-22 20:49,False,084 508 3256
M0026,Padma  Puspasari,Auditori,Offline,Basis Data,2025-12-17 03:52,2025-12-17 04:52,True,+62 (0769) 584 0179
M0027,Syahrini  Prayoga,Auditori,Offline,Fisika Magnet,2025-10-20 00:08,2025-10-20 01:08,True,+62 (994) 670-2340
M0028,Galar  Pratiwi,Kinestetik,Online,Kimia Murni,2025-08-09 14:50,2025-08-09 17:50,False,+62 (074) 806 6128
M0029,Hasta  Usada,Visual,Offline,Kalkulus 2,2025-10-06 03:14,2025-10-06 05:14,False,(0564) 830-1762
M0030,Rahayu  Habibi,Auditori,Online,Fisika Dasar,2025-12-17 16:25,2025-12-17 17:25,False,(080) 192 4031
M0031,Luthfi  Tampubolon,Kinestetik,Offline,Fisika Listrik,2025-09-01 21:20,2025-09-01 22:20,False,+62-44-599-2177
M0032,Reza  Ramadan,Visual,Online,Dasar Pemrograman,2025-09-22 17:51,2025-09-22 19:51,False,+62 (031) 556-4830
M0033,Farhunnisa  Palastri,Auditori,Offline,Fisika Dasar,2025-12-20 12:09,2025-12-20 13:09,False,+62 (022) 383 9674
M0034,Hartana  Mardhiyah,Kinestetik,Online,Probabilitas & Statistika,2025-11-28 08:05,2025-11-28 10:05,True,+62 (0949) 210 7126
M0035,Dono  Pertiwi,Kinestetik,Online,Matematika 2,2025-07-28 08:01,2025-07-28 11:01,False,(0163) 455-5871
